ILOC_CODE_2016,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC10100501,0,42,90,127,73,61,137,907,502,1416,4,4,7,989,570,1554,384,389,771,3173,3447,6622,45,45,84,3598,3878,7477,94,84,177,533,581,1109,3,7,8,628,672,1297,223,238,458,2208,2357,4565,29,27,56,2463,2620,5080,181,179,361,1338,1509,2851,13,16,30,1537,1708,3244
ILOC10100502,0,13,34,41,18,14,36,400,184,582,3,0,4,426,198,625,83,86,175,1424,1289,2714,19,9,32,1529,1384,2918,13,11,23,145,159,306,0,0,4,161,170,331,56,49,104,1087,983,2069,14,4,19,1156,1044,2195,40,35,75,410,402,808,3,3,7,448,443,892
ILOC10100503,0,3,4,7,11,12,18,39,26,69,0,0,3,52,36,89,83,93,180,176,176,355,8,5,10,267,276,540,22,26,41,25,33,57,0,0,0,44,55,106,64,71,134,141,147,288,3,5,7,207,220,433,27,31,57,52,61,115,0,0,3,84,92,173
ILOC10100601,0,6,24,28,12,11,25,211,76,288,3,0,8,230,91,319,154,172,331,876,884,1756,21,22,50,1054,1075,2135,21,18,39,99,87,186,4,4,6,125,103,232,112,113,222,677,651,1319,23,22,42,802,776,1580,50,57,103,261,263,530,5,7,14,318,331,649
ILOC10100701,0,18,14,33,30,20,50,203,110,312,0,0,0,226,134,361,142,144,289,757,844,1603,8,15,21,909,1004,1911,29,45,78,100,132,227,0,0,5,129,175,310,104,115,215,557,613,1169,6,12,14,662,736,1402,61,62,127,259,323,578,0,0,3,319,386,709
ILOC10100702,3,24,48,70,17,20,32,493,217,707,3,4,10,507,240,743,162,170,334,2014,1876,3891,32,29,60,2211,2074,4286,29,36,68,220,218,437,5,3,6,255,255,511,102,99,203,1499,1353,2853,28,27,55,1634,1473,3103,68,86,160,658,658,1318,11,11,19,740,757,1490
ILOC10100801,0,20,37,55,63,53,120,343,181,524,10,6,13,412,247,657,445,434,880,1103,1225,2333,30,39,69,1579,1703,3281,97,118,211,166,196,360,3,4,10,266,316,580,256,250,513,797,878,1674,19,21,42,1078,1156,2234,206,222,432,434,499,930,10,10,16,654,730,1381
ILOC10100802,3,10,25,43,28,15,47,354,150,506,3,6,8,394,168,557,173,141,311,1326,1312,2641,21,28,48,1519,1474,2997,24,23,48,138,145,281,0,7,7,167,171,342,120,107,223,1028,1009,2034,13,17,33,1163,1129,2287,53,47,104,370,405,771,7,7,13,431,462,893
ILOC10200101,3,113,160,269,100,84,178,1794,925,2721,9,4,17,1905,1015,2917,627,621,1243,7967,8511,16483,85,83,163,8674,9216,17888,158,203,360,1989,2359,4354,11,11,23,2159,2578,4737,369,389,764,5048,5398,10449,66,64,133,5484,5853,11342,315,350,669,4633,5195,9829,31,23,47,4980,5566,10541
ILOC10200201,0,50,66,121,25,26,58,768,409,1181,8,4,14,802,448,1247,180,166,352,2999,3126,6122,41,57,93,3221,3352,6570,48,58,107,454,507,963,4,6,4,503,569,1070,103,91,193,2212,2258,4475,34,48,75,2348,2398,4741,103,102,206,1108,1231,2335,7,6,15,1220,1343,2557
ILOC10200301,0,31,66,94,59,72,132,732,341,1071,3,0,6,795,418,1216,432,442,877,2417,2533,4954,24,28,54,2875,3006,5887,113,117,228,500,520,1026,0,6,5,619,645,1267,249,242,495,1578,1667,3244,18,14,36,1843,1927,3775,198,248,444,1173,1237,2410,9,16,24,1377,1494,2873
ILOC10200302,0,17,24,45,33,16,52,428,182,611,4,4,7,461,207,671,152,142,295,1599,1458,3055,34,34,65,1783,1633,3413,28,27,52,184,182,368,0,5,5,213,213,421,90,79,170,1153,1008,2158,25,30,52,1271,1114,2381,71,70,136,527,540,1070,7,6,12,606,614,1220
ILOC10200401,0,14,35,46,20,9,25,352,207,554,10,6,14,376,220,592,110,112,219,1535,1528,3057,14,21,35,1656,1659,3310,33,23,49,194,237,433,7,8,8,228,263,495,74,67,141,1155,1132,2286,13,15,26,1238,1219,2456,46,45,98,495,560,1056,10,9,18,551,619,1169
ILOC10200402,0,0,0,0,7,9,14,18,14,34,0,0,0,26,20,45,63,58,121,112,116,224,0,3,5,184,172,353,3,8,12,11,15,26,0,0,0,16,22,42,47,47,95,101,102,201,0,0,0,146,150,297,18,12,32,29,17,42,0,4,3,46,33,81
ILOC10200501,0,14,29,39,13,13,29,390,225,620,7,3,10,412,241,654,113,90,198,1823,1809,3635,44,25,67,1980,1920,3902,34,42,79,251,266,513,4,0,4,289,305,595,77,53,127,1360,1343,2710,25,25,51,1466,1421,2883,50,62,117,606,628,1229,12,0,15,669,692,1363
ILOC10200502,4,59,121,182,76,80,151,1580,844,2417,13,4,18,1659,922,2584,467,510,975,5552,5723,11272,76,96,175,6098,6327,12425,177,159,332,949,1036,1990,17,17,30,1139,1215,2356,290,303,595,3989,4036,8019,57,59,118,4333,4392,8726,264,293,552,2173,2405,4573,24,40,66,2463,2731,5192
ILOC10200601,0,10,31,43,11,3,13,334,147,480,0,3,6,352,150,500,65,55,117,1321,1206,2532,26,21,44,1406,1282,2692,23,14,39,155,153,315,3,0,8,184,170,354,45,41,84,994,897,1892,19,14,32,1054,958,2010,35,25,60,404,400,809,10,3,14,445,438,882
ILOC10200602,0,12,27,43,23,22,36,237,118,356,0,0,0,262,138,395,149,163,312,830,896,1724,13,8,26,989,1065,2062,30,32,65,157,155,313,0,3,4,192,191,384,104,103,203,568,606,1172,9,9,20,685,711,1395,62,71,133,367,399,766,3,3,3,425,479,903
ILOC10200603,0,0,0,0,3,6,6,3,0,3,0,0,0,6,6,11,40,35,78,3,0,3,0,0,0,45,38,80,0,4,5,0,0,0,0,0,0,0,4,5,33,30,62,0,0,0,0,0,0,36,27,63,3,13,13,0,0,0,0,0,0,3,13,12
ILOC10200604,0,6,8,14,14,9,24,87,50,141,5,0,6,107,60,168,127,112,240,411,419,828,21,4,23,558,537,1090,17,17,36,59,58,122,0,0,0,77,79,153,84,71,156,312,312,630,16,4,22,415,394,806,47,50,97,134,142,272,3,0,3,184,192,378
ILOC10200701,0,6,15,25,29,23,49,252,107,356,6,3,8,286,131,414,121,138,261,832,821,1652,10,12,20,967,968,1930,26,41,66,144,180,324,3,0,3,174,225,394,87,84,174,558,513,1069,8,8,11,652,606,1257,48,71,124,353,434,785,3,5,5,401,511,912
ILOC10200702,0,13,19,31,50,44,93,189,92,282,0,0,0,236,137,374,372,420,789,692,666,1356,16,10,26,1074,1090,2170,72,108,182,135,122,259,4,9,9,209,240,448,248,252,500,470,447,916,13,6,17,728,705,1434,132,199,330,318,290,609,6,6,10,455,498,953
ILOC10200703,0,3,9,14,8,18,24,136,43,174,4,0,4,149,56,208,75,76,152,505,486,996,0,4,7,583,567,1150,16,23,33,61,68,129,3,7,4,72,94,171,51,58,106,365,355,720,0,4,7,419,416,829,27,25,51,164,171,336,3,7,4,192,203,397
ILOC10200704,0,0,3,3,8,10,12,7,4,9,0,0,0,16,13,27,98,126,226,31,27,56,0,0,0,129,149,278,16,6,16,3,7,6,0,0,0,17,11,26,81,95,175,23,22,41,0,0,0,97,119,215,30,23,49,8,8,22,0,0,0,35,38,76
ILOC10200801,0,4,0,3,13,8,22,11,11,22,0,0,0,21,23,47,135,160,295,80,56,139,3,3,9,219,226,445,16,21,39,11,15,23,3,0,4,37,31,66,120,142,257,64,47,110,3,3,9,187,193,381,28,24,52,26,23,50,3,0,4,59,50,108
ILOC10200802,0,13,24,37,19,20,35,347,131,479,3,0,3,371,152,521,107,102,213,1570,1408,2972,18,18,39,1695,1528,3226,24,16,40,156,144,297,4,0,4,182,160,345,68,72,138,1175,1012,2181,18,11,29,1259,1090,2356,51,42,93,447,435,885,3,3,4,503,480,979
ILOC10200803,0,7,3,7,6,6,14,23,11,33,0,0,0,33,14,45,36,48,80,114,104,216,0,0,0,149,150,303,18,16,27,23,19,42,0,0,3,40,35,77,23,24,49,88,85,173,0,0,0,112,112,219,25,27,53,40,42,80,0,0,0,69,70,134
ILOC10200804,0,0,0,0,3,11,14,3,0,8,0,0,0,8,10,20,74,100,177,42,36,78,0,0,3,120,136,252,14,14,24,3,3,8,0,0,0,13,15,28,67,83,152,27,26,54,0,0,0,95,106,207,14,10,26,17,14,27,0,0,0,32,27,55
ILOC10200901,0,53,85,135,57,53,112,1170,543,1716,11,3,15,1235,603,1842,352,307,657,3550,3490,7037,39,45,85,3939,3838,7776,107,149,253,642,713,1353,7,3,17,758,866,1623,177,144,321,2275,2200,4473,30,32,62,2479,2374,4857,242,268,507,1684,1814,3491,15,11,31,1937,2087,4028
ILOC10200902,0,17,41,60,31,13,41,633,309,940,5,0,6,670,323,992,108,127,234,1956,1873,3830,31,25,52,2095,2022,4120,39,38,78,333,336,668,0,3,3,377,377,749,44,57,99,1227,1115,2346,18,17,35,1289,1187,2474,78,90,163,943,946,1896,9,10,17,1032,1046,2073
ILOC10201001,0,15,33,52,42,35,74,446,219,660,6,5,6,490,256,746,244,299,540,1651,1691,3340,20,20,47,1916,2013,3928,60,63,125,242,266,502,3,8,12,303,337,635,156,171,326,1172,1184,2352,9,13,28,1334,1367,2706,114,141,251,627,667,1292,8,11,23,754,814,1571
ILOC10201002,0,20,42,58,30,25,57,552,274,829,7,8,13,585,304,891,215,217,429,2195,2102,4306,35,28,63,2450,2343,4790,39,34,80,230,226,458,7,7,11,275,272,546,146,141,283,1690,1567,3254,29,17,45,1862,1724,3585,81,84,167,645,656,1293,15,13,26,742,752,1488
ILOC10201003,0,6,13,18,15,7,22,99,50,145,0,0,3,113,56,176,115,109,228,482,453,935,4,4,16,606,562,1172,32,40,70,60,74,135,4,3,7,98,114,208,63,67,135,340,312,661,3,11,13,415,395,806,70,63,127,165,179,341,3,3,6,238,240,472
ILOC10201101,4,152,374,525,287,216,505,3724,1993,5714,41,17,57,4049,2224,6274,1595,1658,3257,12479,13663,26145,134,148,278,14214,15468,29680,458,541,999,2854,2918,5771,32,34,71,3342,3496,6839,849,912,1763,8079,8748,16826,83,100,184,9011,9762,18773,918,1043,1964,6600,7181,13781,67,60,127,7584,8285,15867
ILOC10201102,3,56,152,212,102,77,180,1967,939,2902,31,10,38,2098,1026,3123,549,539,1092,6661,6733,13398,102,96,196,7320,7368,14689,117,103,222,823,922,1737,18,10,22,956,1031,1982,333,306,642,4690,4734,9421,76,65,138,5095,5111,10201,258,261,524,2477,2654,5133,36,25,57,2768,2946,5714
ILOC10201201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,56,94,0,0,0,0,0,0,37,56,96,9,0,12,0,0,0,0,0,0,9,0,12,33,42,71,0,0,0,0,0,0,30,42,71,7,10,22,0,0,0,0,0,0,7,10,22
ILOC10201202,0,36,53,86,22,15,39,622,309,930,5,6,12,651,338,983,110,107,213,2348,2371,4726,39,39,78,2496,2521,5016,28,28,60,268,329,601,3,6,7,300,362,664,57,58,120,1739,1741,3480,22,27,55,1819,1828,3649,55,65,118,796,892,1689,15,10,22,863,961,1832
ILOC10201301,3,40,97,142,64,47,111,1519,692,2207,20,6,23,1597,746,2347,283,282,563,4999,5094,10094,68,76,141,5345,5455,10800,65,59,129,775,812,1595,14,6,22,861,885,1745,186,189,372,3511,3535,7046,37,56,95,3735,3781,7515,134,130,267,1981,2110,4087,31,30,55,2139,2271,4407
ILOC10201401,0,28,39,64,29,19,43,549,250,798,7,3,12,581,273,852,152,160,311,2014,2148,4157,33,24,59,2196,2326,4527,30,45,69,238,259,497,4,8,8,274,308,576,94,100,198,1490,1491,2990,20,19,38,1609,1618,3227,68,77,147,664,799,1465,8,12,16,740,891,1625
ILOC10201402,0,11,28,37,13,9,27,295,119,416,3,4,4,310,135,442,74,59,139,1169,1176,2346,18,18,32,1265,1254,2518,25,18,38,120,132,255,3,4,3,147,152,298,55,45,97,900,905,1807,11,8,21,970,966,1931,43,23,61,335,338,672,0,0,8,376,367,740
ILOC10300101,0,7,14,19,27,26,53,80,30,116,0,0,0,111,55,163,247,292,537,357,324,679,7,10,8,612,625,1235,27,43,73,48,76,123,0,0,0,72,122,197,185,219,405,234,208,444,0,3,4,420,431,849,67,94,161,149,171,318,6,3,7,222,269,484
ILOC10300102,0,3,6,12,3,9,10,48,14,66,0,0,0,55,27,85,58,61,114,207,184,393,8,3,10,272,241,514,17,7,24,28,36,63,0,0,0,45,40,87,45,46,93,148,122,267,7,3,6,198,172,369,15,14,29,74,78,154,0,0,0,95,88,187
ILOC10300201,0,5,10,17,23,14,37,18,11,28,0,0,0,41,24,63,213,208,422,105,91,194,0,6,7,314,307,626,29,31,56,17,22,41,0,0,3,51,49,98,166,163,333,65,59,125,0,6,3,236,228,463,44,51,95,54,50,100,0,0,3,94,101,193
ILOC10300202,0,13,13,23,14,8,17,30,9,38,0,0,0,38,16,61,125,129,254,116,107,227,4,0,3,248,233,480,12,13,27,15,12,31,0,0,0,33,26,60,105,113,217,95,85,176,4,0,3,200,199,394,24,17,47,36,34,70,0,0,0,60,54,112
ILOC10300203,0,3,0,3,6,5,16,0,0,3,0,0,0,7,11,18,55,83,141,10,3,16,0,0,0,67,86,153,5,12,17,3,4,5,0,0,0,7,15,23,49,69,122,4,3,9,0,0,0,59,74,131,5,13,19,0,6,13,0,0,0,11,21,34
ILOC10300301,0,15,39,50,44,21,71,475,186,665,9,4,11,535,211,747,219,212,430,1453,1369,2828,30,24,46,1702,1608,3308,39,45,84,251,252,506,0,0,3,295,297,594,143,144,291,967,875,1843,17,12,29,1132,1034,2162,78,85,165,655,640,1301,3,7,16,743,740,1479
ILOC10300302,0,0,0,0,0,3,5,0,0,0,0,0,0,4,3,4,39,30,74,0,0,0,0,0,0,44,30,72,4,4,10,0,0,0,0,0,0,8,4,13,28,26,61,0,0,0,0,0,0,28,26,61,9,12,19,4,0,4,0,0,0,15,12,22
ILOC10300401,0,3,21,23,36,37,69,125,61,183,4,3,8,163,100,259,336,387,725,446,446,900,13,9,23,797,846,1642,59,57,113,80,94,168,3,3,7,139,148,285,234,272,502,345,311,657,6,6,20,588,596,1177,131,128,257,168,213,379,3,3,8,303,340,642
ILOC10300402,0,4,7,17,4,3,8,85,52,135,0,0,0,90,52,146,24,40,64,409,351,761,12,6,12,446,399,846,8,6,16,39,43,80,0,0,0,47,49,100,20,28,48,323,280,601,5,5,15,349,315,664,10,16,26,106,102,206,0,0,0,123,116,239
ILOC10300403,0,0,3,3,4,8,13,11,5,16,3,0,3,20,11,30,65,73,134,65,67,131,8,3,12,142,138,281,12,11,24,9,8,23,0,0,0,23,22,40,46,51,95,42,49,93,8,3,11,96,105,199,15,23,43,28,27,59,0,0,0,52,51,104
ILOC10300501,0,70,149,214,73,68,145,1869,832,2706,29,5,32,1976,907,2881,499,542,1035,6178,6491,12667,108,94,198,6781,7126,13905,167,171,336,740,847,1582,5,10,13,915,1024,1938,318,350,663,4815,5029,9839,87,71,164,5223,5447,10669,258,299,555,1842,2098,3941,21,22,43,2117,2414,4535
ILOC10300502,0,7,7,22,10,8,15,115,60,176,3,5,5,132,64,197,52,70,116,558,416,976,14,12,24,618,499,1119,9,7,13,48,57,100,3,3,5,59,59,121,34,50,83,411,302,713,10,9,19,457,363,819,18,16,34,160,150,310,6,0,6,185,163,353
ILOC10300503,0,0,3,6,7,4,8,19,7,23,0,0,0,20,10,36,89,81,174,83,65,152,3,8,10,175,152,334,9,9,16,9,12,21,0,0,0,18,19,39,57,66,119,71,51,120,4,5,8,128,119,247,26,21,49,27,26,54,0,0,3,60,49,106
ILOC10300504,0,3,0,3,16,10,23,7,9,16,0,0,0,21,17,35,165,185,352,43,45,91,0,4,7,213,239,450,27,25,50,9,15,21,0,0,0,36,36,70,138,151,285,28,33,61,0,4,7,165,185,351,39,44,83,19,22,47,0,0,0,61,69,129
ILOC10300601,0,0,3,4,9,6,18,14,7,25,0,0,0,21,17,42,88,86,179,75,71,153,0,0,0,173,160,329,13,23,36,19,14,38,3,0,3,38,38,80,75,68,143,70,44,114,0,0,0,147,114,258,19,27,49,27,45,71,3,0,3,49,76,125
ILOC10300602,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,27,30,55,0,0,0,0,0,0,26,30,60,3,3,3,0,0,0,0,0,0,3,3,3,15,27,40,0,0,0,0,0,0,15,27,40,4,4,14,0,0,0,0,0,0,9,4,17
ILOC10300603,0,5,10,15,20,16,36,87,39,130,0,0,0,107,57,162,155,172,330,361,311,676,9,7,16,530,495,1020,33,32,68,52,65,114,0,0,0,83,102,186,106,112,209,274,219,493,3,3,10,380,331,712,64,79,149,123,151,279,6,6,14,202,240,437
ILOC10300605,0,10,5,13,15,18,32,63,31,91,3,0,3,79,43,122,274,330,606,249,201,452,11,18,33,537,556,1087,43,42,90,49,61,110,0,0,3,96,103,198,210,249,457,151,107,257,9,17,31,372,368,734,74,107,179,132,136,271,0,3,3,213,238,453
ILOC10300607,0,15,19,35,10,13,27,218,71,286,4,0,4,231,86,313,155,134,291,986,727,1708,20,18,34,1154,878,2038,17,11,25,101,83,192,0,8,5,125,102,225,116,111,228,790,564,1349,16,18,29,918,691,1607,46,25,69,256,216,478,4,6,8,304,247,552
ILOC10400101,0,3,14,13,11,6,18,172,52,227,0,4,4,187,66,251,78,64,137,499,453,947,7,5,17,583,525,1102,15,13,27,75,58,132,3,0,8,96,71,169,47,50,94,356,325,685,4,3,7,411,384,792,34,18,51,192,179,376,10,3,14,232,203,436
ILOC10400102,0,58,130,194,47,35,86,1744,815,2563,12,4,19,1803,855,2663,225,253,476,5657,6216,11868,63,63,123,5947,6525,12471,63,80,143,1200,1369,2564,11,3,17,1267,1452,2728,124,163,288,3621,4039,7657,41,36,81,3787,4238,8031,137,146,284,3033,3358,6392,31,25,55,3202,3532,6731
ILOC10400103,0,58,120,175,50,30,72,2301,1062,3361,10,3,13,2361,1098,3454,199,185,387,8500,8973,17473,70,75,147,8766,9237,18005,49,57,106,1499,1702,3200,8,10,19,1556,1768,3324,122,127,250,5694,6058,11750,49,55,100,5857,6240,12102,98,94,198,3898,4299,8196,23,30,61,4030,4425,8451
ILOC10400201,3,74,138,212,54,31,82,2776,1206,3983,29,12,35,2856,1249,4101,208,227,429,10430,11048,21477,136,161,301,10774,11431,22214,57,59,121,2106,2548,4656,28,42,67,2190,2649,4839,131,145,270,6943,7082,14024,91,102,193,7161,7334,14496,121,118,237,5097,5966,11056,65,87,149,5278,6165,11445
ILOC10400301,0,91,213,310,103,100,196,2184,1146,3325,14,8,22,2296,1247,3551,507,521,1029,6555,7175,13729,73,82,159,7135,7777,14917,134,166,301,1123,1224,2351,16,9,22,1273,1403,2672,288,312,602,4586,4850,9440,57,53,112,4934,5215,10152,272,315,586,2707,3156,5859,17,29,49,2995,3494,6494
ILOC10400302,0,72,204,274,124,88,214,2703,1243,3950,17,7,23,2838,1341,4180,509,481,996,8008,8026,16032,109,93,202,8627,8600,17233,115,117,231,1219,1298,2521,3,13,22,1338,1433,2774,269,245,511,5274,5135,10407,61,56,117,5603,5431,11036,303,305,606,3463,3739,7199,39,40,86,3806,4084,7889
ILOC10400303,3,56,110,160,82,60,143,1587,793,2384,13,4,14,1686,855,2538,435,399,832,4614,4703,9322,69,62,135,5120,5168,10287,80,82,166,679,686,1370,6,11,16,772,787,1553,283,235,520,3403,3387,6786,42,56,97,3730,3678,7411,189,184,376,1675,1793,3468,26,20,48,1889,2001,3889
ILOC10400401,0,0,3,3,3,0,3,36,6,37,0,0,0,39,10,47,29,38,70,143,91,231,0,3,3,173,134,306,9,4,11,23,21,45,0,0,0,28,23,50,22,29,50,113,78,191,0,0,0,131,106,242,11,8,18,44,35,79,0,0,0,57,42,100
ILOC10400402,0,25,36,61,21,21,33,598,300,891,4,0,4,613,317,931,120,143,261,2003,1803,3800,27,23,54,2153,1966,4120,24,30,60,266,255,525,9,5,15,303,295,594,73,80,160,1506,1337,2846,17,13,34,1598,1435,3035,55,73,130,674,663,1336,15,11,20,750,740,1492
ILOC10400403,0,104,203,308,106,122,233,2299,1326,3622,14,13,29,2418,1464,3885,614,651,1265,8045,8643,16692,114,114,226,8771,9415,18183,184,221,408,1304,1368,2669,10,27,32,1500,1611,3110,320,363,690,5708,6076,11784,73,84,157,6110,6517,12626,381,414,789,3224,3609,6836,40,55,89,3646,4077,7721
ILOC10400404,0,18,36,57,10,21,31,667,290,960,11,4,14,688,313,1003,87,110,190,2072,2182,4259,29,47,75,2187,2337,4522,35,37,68,420,435,854,0,3,3,455,474,927,58,60,119,1399,1463,2865,23,31,53,1477,1559,3036,44,63,115,1011,1091,2107,6,20,29,1067,1174,2242
ILOC10400405,3,54,131,181,54,34,85,1898,794,2692,30,5,34,1974,833,2810,273,239,512,5606,5591,11191,95,91,186,5973,5919,11895,62,56,110,841,888,1726,19,21,35,918,965,1877,164,149,314,4140,4050,8190,74,71,144,4378,4271,8647,132,123,257,2131,2246,4373,32,28,65,2299,2397,4698
ILOC10400501,3,58,85,142,43,30,75,1313,566,1877,9,6,15,1370,600,1968,166,184,347,4509,4787,9300,77,99,172,4751,5075,9823,41,35,74,795,888,1675,13,9,25,845,933,1778,110,101,214,3189,3307,6499,50,70,116,3349,3476,6824,79,91,168,1914,2161,4075,36,31,68,2029,2287,4316
ILOC10400502,0,8,8,11,11,9,18,71,33,104,0,0,0,85,39,127,107,109,213,274,245,514,7,3,13,387,358,745,8,3,13,40,46,85,0,5,5,52,53,105,75,74,147,187,190,383,6,3,14,265,271,542,23,28,50,98,94,193,0,4,8,126,123,249
ILOC10400503,4,225,499,720,202,169,371,5944,2793,8740,54,13,66,6200,2976,9173,943,1024,1970,19634,20641,40272,201,230,430,20775,21896,42669,246,310,562,4030,4378,8407,47,30,78,4325,4720,9041,509,528,1043,12850,13267,26122,127,147,274,13491,13944,27436,568,672,1234,10009,11002,21012,92,88,176,10667,11758,22424
ILOC10400504,0,17,34,51,11,15,25,282,162,446,4,0,4,296,178,473,88,100,189,970,1087,2062,18,14,31,1070,1209,2278,19,23,35,166,168,332,0,0,4,182,190,370,63,75,140,676,756,1430,16,10,27,751,849,1596,27,35,63,416,453,867,0,8,9,444,486,931
ILOC10400505,0,51,76,129,26,19,42,1119,513,1634,19,5,22,1164,542,1707,148,139,290,3499,3413,6908,56,58,121,3704,3609,7316,33,44,78,467,495,961,16,7,17,513,540,1054,104,93,196,2555,2481,5033,52,40,92,2699,2616,5319,65,71,141,1286,1303,2588,19,16,35,1365,1390,2759
ILOC10400506,0,19,47,67,29,31,60,614,278,891,9,8,16,649,320,967,212,229,436,1908,2086,3991,35,50,81,2156,2359,4516,53,62,113,343,405,752,8,8,15,405,475,877,125,137,263,1300,1424,2721,21,31,48,1445,1588,3036,111,114,228,861,1003,1859,13,16,32,985,1135,2121
ILOC10400507,0,79,142,221,58,54,109,1575,829,2401,10,8,16,1636,888,2530,381,355,733,5236,5710,10947,56,50,105,5669,6112,11786,66,81,144,895,1036,1936,6,5,15,973,1124,2094,238,211,453,3512,3838,7348,31,39,74,3786,4087,7869,169,191,354,2410,2759,5164,27,21,46,2598,2968,5567
ILOC10400601,0,26,58,84,22,13,39,1099,450,1549,16,9,23,1138,466,1603,176,171,350,3402,3390,6793,64,52,116,3639,3618,7257,30,35,65,424,446,866,6,4,6,456,482,941,129,122,252,2511,2425,4932,42,37,79,2681,2585,5264,55,69,132,1127,1238,2365,22,16,38,1208,1321,2532
ILOC10400602,0,17,39,58,26,26,56,525,201,729,6,0,5,556,228,787,136,150,279,1794,1791,3586,27,25,52,1952,1970,3914,41,33,73,276,298,572,7,15,17,320,340,659,85,82,175,1330,1333,2663,17,24,40,1432,1443,2881,69,85,152,638,687,1323,12,14,24,719,778,1493
ILOC10400701,8,169,403,578,146,81,233,7219,3092,10320,60,21,88,7431,3201,10633,548,602,1152,25925,27770,53690,218,272,489,26692,28641,55330,132,124,259,4090,4531,8628,38,28,73,4262,4692,8951,344,361,705,17306,18711,36013,146,177,323,17792,19252,37037,282,310,590,11861,12787,24640,88,87,174,12226,13180,25409
ILOC10400702,11,372,672,1050,245,213,460,9996,5137,15137,95,43,135,10332,5397,15729,1216,1218,2434,35483,37686,73168,384,408,786,37082,39308,76388,304,293,595,5922,6419,12339,56,54,113,6281,6763,13043,682,699,1376,23937,25281,49218,258,283,541,24877,26258,51141,691,701,1393,15953,17432,33391,136,141,273,16779,18272,35057
ILOC10400801,0,58,117,175,73,49,124,2165,818,2976,33,17,52,2272,883,3149,330,281,609,6151,6010,12153,92,85,170,6562,6373,12936,78,89,171,1054,1123,2176,20,17,35,1151,1232,2382,192,157,351,4344,4191,8531,62,62,125,4601,4413,9012,167,180,350,2664,2747,5417,38,32,77,2876,2962,5839
ILOC10400802,0,59,113,179,44,33,72,1455,650,2104,11,6,18,1508,684,2195,251,310,560,4434,4908,9340,47,49,101,4736,5267,10001,96,85,184,867,952,1818,6,8,18,970,1050,2016,157,190,345,2894,3184,6085,41,41,74,3091,3416,6510,158,149,306,2235,2561,4795,18,21,34,2414,2723,5142
